sur3_n,sur4_n,sur6_n,sur7_n,sur9_n,sur12_n,sur13_n,sur14_n,sur17_n,sur18_n
1.0,0.3231583243370203,0.4929783809308018,0.3639422471542258,0.5014552707145301,0.7084837789612969,0.646319219763495,0.6844111485116412,0.5203853816554961,0.22750539458518032
0.3231583243370203,1.0,0.2896888729572598,0.2544642280659416,0.32842008537282497,0.3517113634787346,0.3194882779296275,0.3346556373420276,0.3408051175011557,0.16149154067372018
0.4929783809308018,0.2896888729572598,1.0,0.3835664840765836,0.46795974251141453,0.5602079893478826,0.47527006686463713,0.5067619013123764,0.4531252616572755,0.15691394224817065
0.3639422471542258,0.2544642280659416,0.3835664840765836,1.0,0.655298489567398,0.397996811459414,0.36102295019842107,0.3909237372511105,0.587799351677022,0.1912146662014259
0.5014552707145301,0.32842008537282497,0.46795974251141453,0.655298489567398,1.0,0.5378076210064374,0.486862071488468,0.5240625443402515,0.6954702762191289,0.23141907662924036
0.7084837789612969,0.3517113634787346,0.5602079893478826,0.397996811459414,0.5378076210064374,1.0,0.7657434569316581,0.7683966408143059,0.5613820005410979,0.2906286137032539
0.646319219763495,0.3194882779296275,0.47527006686463713,0.36102295019842107,0.486862071488468,0.7657434569316581,1.0,0.8275669469526735,0.5231501295254976,0.3169812549063054
0.6844111485116412,0.3346556373420276,0.5067619013123764,0.3909237372511105,0.5240625443402515,0.7683966408143059,0.8275669469526735,1.0,0.5544675905491169,0.2879808915370251
0.5203853816554961,0.3408051175011557,0.4531252616572755,0.587799351677022,0.6954702762191289,0.5613820005410979,0.5231501295254976,0.5544675905491169,1.0,0.2967114264023733
0.22750539458518032,0.16149154067372018,0.15691394224817065,0.1912146662014259,0.23141907662924036,0.2906286137032539,0.3169812549063054,0.2879808915370251,0.2967114264023733,1.0
