sur1_n,sur2_n,sur5_n,sur8_n,sur10_n,sur11_n,sur15_n,sur16_n,sur19_n,sur20_n
1.0,0.5392025164752852,0.5553240568175719,0.42320876287390813,0.5485342495308179,0.3898360608309515,0.5064198527011711,0.48520341402735245,0.3667160993632166,0.5379303217857133
0.5392025164752852,1.0,0.5166483718657802,0.39055172608970457,0.5054211061526152,0.34556364617660884,0.4654368868709321,0.44876360107397223,0.3073728255944886,0.4434150515976241
0.5553240568175719,0.5166483718657802,1.0,0.5628791125598215,0.6663686954458357,0.40594749771231536,0.6227083648144102,0.6292467312075997,0.512298382806176,0.651868218732144
0.42320876287390813,0.39055172608970457,0.5628791125598215,1.0,0.5781811736714908,0.37200152109727036,0.5874441366693767,0.516465859957634,0.44992849978124094,0.5329404370437345
0.5485342495308179,0.5054211061526152,0.6663686954458357,0.5781811736714908,1.0,0.44010549927839954,0.655259055409312,0.6384682964074019,0.4929418077795809,0.6493329189789974
0.3898360608309515,0.34556364617660884,0.40594749771231536,0.37200152109727036,0.44010549927839954,1.0,0.42155979292903084,0.41085376876849444,0.323785805740151,0.4153220465326611
0.5064198527011711,0.4654368868709321,0.6227083648144102,0.5874441366693767,0.655259055409312,0.42155979292903084,1.0,0.683617317656382,0.5633164392922032,0.667293144429726
0.48520341402735245,0.44876360107397223,0.6292467312075997,0.516465859957634,0.6384682964074019,0.41085376876849444,0.683617317656382,1.0,0.5205692541531272,0.6808772520647358
0.3667160993632166,0.3073728255944886,0.512298382806176,0.44992849978124094,0.4929418077795809,0.323785805740151,0.5633164392922032,0.5205692541531272,1.0,0.6181025188332926
0.5379303217857133,0.4434150515976241,0.651868218732144,0.5329404370437345,0.6493329189789974,0.4153220465326611,0.667293144429726,0.6808772520647358,0.6181025188332926,1.0
